NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,437.04818916784893
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,433.68159176616894
b38a03232f43b11c9d0788abaf060f7366053b6d,580.5271218114885
715494628a50142ce8cb17191cfe6d0f3cae0934,539.0396167647348
e656d6bad65c93fb2880f1eba5037008c8e75774,464.4914262802391
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,538.3140491387614
11539e86171bf07d3a36f09377d7f54ebcc8406a,437.01816046864417
043c544a2104aa8a9849f1a703a08d37a2f16839,474.68023440283116
76ba050e64ad100b856f0eaabd8f539d5c7dd185,467.1067265054118
940aede382ccb332fab15d413217695ec44ca765,452.9461129853927
9ad714b116da76d878dd399d187fccc2dd13dd63,570.4884485149166
dd34464a4d780b12a089347ad580418ac57a3055,530.6463312613791
f837a4cb05a5fd59d20138182f5e8c721eadd584,467.5987858058798
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,387.42552643979496
3d203727f27abd83b71732d88d8cb1cc099f363b,434.1797019419702
cbc301183dec912f3513ca766bf03dd565f3a38f,496.45688582268104
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,636.9477903137793
11282da1ee78c8db45a041db4c744e33df489df0,429.7785663242541
03c67f683a415c2ea09b582248bd4cb08528c19d,587.2774594827254
046e844fb06a07ba30b41521f0065a8d9c6e5024,392.4275941097663
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,453.7978479900448
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,406.1162961507626
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,564.9803299814703
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,507.2458090055347
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,547.5098574209503
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,489.7533525017362
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,462.17597421493025
59bfa081e020013410d9f60f91813964ba749bb2,433.5670186795061
f5e069ee3bc95998464e8ff5da048b7f999921ed,454.8615969314609
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,608.4777229022013
664f44258212a1f7e4086f2b4845d586c543fa3f,491.8213428406704
265cd7befa74a9f2a198fc57baec9858075f8419,429.760822613391
6f9ac44919bbd204e0ef15185388fd2d4bc61253,514.7520767917304
78de1ee60b55766cc3eba4089e36c57139b66ebd,458.25207720051196
1e61a474acdc043eb39a89c17fab34bd2ea1a940,439.35867328985034
940af68ded6af2875708611051aa7ff3f134d80b,513.2152920796784
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,493.1651469730732
c76ddf6e9f80984e901b12f9462a3cf029bea290,485.9325733331905
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,456.7170655069827
92823d467a2ced9529801e0e8a94802dd88f0c17,443.25405292555155
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,575.5398101595886
413cbb38b2e2522f8167ffb9daeac1347b281393,494.805328219523
68985fad004092956a4b4ce94dd53dc76d07eaf7,496.29174874099914
bdca9aeb19521675af15f2c28d86f6bebc45a834,486.145039188646
b65b19d42b7a4b644fe9f99366dcb37b120862d9,410.6705448930274
eda898aa8ec465cbac70de72ead0c6d688e5f95a,443.49058124603715
8d5c4481d736f6ce27976e400f4245bf10757608,419.12483428808906
c4cea54435c0fd0e171eed4c215479bb3ca86113,448.37139781370803
7d5cd89c6112b9a202a025a24355135bc60848c6,477.42686452774075
b70ab62384aa80545928a311f5b5d3db2f4d87ee,548.5234829792751
c96431dd924f366d2229a7f1455388b8cd85be49,579.6590283558533
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,426.4365482514356
e724482370ae6126008ade80b564ad8d8a0a7cbd,472.5138913793122
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,604.1840742233551
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,489.4364408757908
7f898f8939ae054359f83ee154bb91bc7dd2c959,559.6616869298564
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,480.210847692295
82e3b12c6366008fabc238f299f117074e78de5d,402.8948973772461
0d838be0e718ceb786cdb10fcc12559e00440240,509.8691735889891
